# Constructed from biom file
#OTU ID	AC1-1_S10_L001_R1_001	AC1-2_S11_L001_R1_001	AC1-3_S12_L001_R1_001	AC2-1_S30_L001_R1_001	AC2-2_S31_L001_R1_001	AC2-3_S32_L001_R1_001	AN1-1_S1_L001_R1_001	AN1-2_S40_L001_R1_001	AN1-3_S41_L001_R1_001	AN2-1_S2_L001_R1_001	AN2-2_S3_L001_R1_001	AN2-3_S42_L001_R1_001	KL1-1_S7_L001_R1_001	KL1-2_S8_L001_R1_001	KL1-3_S9_L001_R1_001	KL2-1_S27_L001_R1_001	KL2-2_S28_L001_R1_001	KL2-3_S29_L001_R1_001	LS1-1_S4_L001_R1_001	LS1-2_S5_L001_R1_001	LS1-3_S6_L001_R1_001	LS2-1_S34_L001_R1_001	LS2-2_S35_L001_R1_001	LS2-3_S36_L001_R1_001	MJ1-1_S33_L001_R1_001	MJ1-2_S25_L001_R1_001	MJ1-3_S26_L001_R1_001	MJ2-1_S37_L001_R1_001	MJ2-2_S38_L001_R1_001	MJ2-3_S39_L001_R1_001	NS1-1_S16_L001_R1_001	NS1-2_S17_L001_R1_001	NS1-3_S18_L001_R1_001	NS2-1_S22_L001_R1_001	NS2-2_S23_L001_R1_001	NS2-3_S24_L001_R1_001	RF1-1_S13_L001_R1_001	RF1-2_S14_L001_R1_001	RF1-3_S15_L001_R1_001	RF2-1_S19_L001_R1_001	RF2-2_S20_L001_R1_001	RF2-3_S21_L001_R1_001
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Pseudonocardia	1382.0	1150.0	966.0	55.0	1327.0	741.0	19.0	107.0	57.0	64.0	0.0	0.0	70.0	102.0	0.0	21.0	0.0	74.0	1205.0	1092.0	3104.0	152.0	99.0	335.0	22.0	0.0	27.0	0.0	37.0	0.0	179.0	286.0	437.0	198.0	164.0	222.0	131.0	23.0	58.0	129.0	679.0	75.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Intrasporangiaceae;__	659.0	1064.0	1906.0	66.0	745.0	232.0	63.0	103.0	94.0	88.0	65.0	75.0	100.0	244.0	0.0	39.0	289.0	821.0	207.0	25.0	53.0	1052.0	279.0	1054.0	39.0	22.0	82.0	37.0	21.0	0.0	36.0	68.0	84.0	62.0	116.0	74.0	523.0	1639.0	788.0	54.0	330.0	132.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Micrococcaceae;__	11.0	82.0	151.0	268.0	215.0	269.0	88.0	131.0	150.0	193.0	117.0	154.0	120.0	270.0	0.0	103.0	100.0	336.0	25.0	10.0	0.0	758.0	197.0	722.0	68.0	104.0	74.0	215.0	29.0	79.0	85.0	88.0	93.0	37.0	108.0	69.0	232.0	833.0	445.0	217.0	57.0	53.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Nakamurellales;f__Nakamurellaceae;g__Nakamurella	1581.0	808.0	460.0	167.0	582.0	278.0	49.0	124.0	71.0	93.0	61.0	78.0	99.0	158.0	0.0	162.0	371.0	453.0	646.0	435.0	134.0	322.0	84.0	201.0	137.0	37.0	232.0	191.0	217.0	63.0	68.0	148.0	181.0	75.0	156.0	136.0	383.0	395.0	255.0	98.0	741.0	205.0
k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacterales;f__Rhodanobacteraceae;__	166.0	51.0	35.0	0.0	62.0	88.0	4.0	0.0	0.0	0.0	0.0	0.0	105.0	36.0	0.0	883.0	358.0	48.0	23.0	0.0	0.0	2230.0	125.0	602.0	0.0	34.0	0.0	6.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	132.0	15.0	0.0	72.0
k__Bacillati;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter	68.0	22.0	56.0	324.0	95.0	388.0	167.0	252.0	294.0	167.0	133.0	156.0	235.0	207.0	0.0	167.0	379.0	451.0	144.0	498.0	359.0	121.0	38.0	85.0	285.0	75.0	241.0	190.0	218.0	18.0	1284.0	1336.0	1509.0	603.0	594.0	654.0	380.0	113.0	259.0	528.0	270.0	249.0
k__Bacillati;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;__	0.0	0.0	3.0	848.0	19.0	273.0	530.0	388.0	432.0	192.0	203.0	185.0	270.0	188.0	0.0	501.0	417.0	210.0	99.0	160.0	103.0	46.0	192.0	17.0	211.0	67.0	113.0	38.0	73.0	49.0	264.0	252.0	103.0	310.0	245.0	350.0	209.0	34.0	25.0	385.0	88.0	336.0
k__Pseudomonadati;p__Planctomycetota;c__Planctomycetia;o__Isosphaerales;f__Isosphaeraceae;__	1009.0	370.0	614.0	224.0	442.0	322.0	91.0	294.0	155.0	114.0	146.0	105.0	318.0	401.0	0.0	935.0	918.0	592.0	539.0	367.0	561.0	498.0	141.0	201.0	829.0	330.0	491.0	858.0	1161.0	447.0	233.0	326.0	627.0	392.0	611.0	420.0	473.0	852.0	638.0	234.0	1883.0	284.0
k__Thermoproteati;p__Nitrososphaerota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera	0.0	0.0	10.0	592.0	13.0	831.0	734.0	366.0	352.0	97.0	57.0	39.0	79.0	34.0	0.0	38.0	7.0	25.0	0.0	543.0	12.0	10.0	6.0	3.0	256.0	16.0	17.0	99.0	143.0	0.0	1287.0	777.0	363.0	274.0	578.0	766.0	166.0	4.0	22.0	481.0	396.0	427.0
k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;__	69.0	672.0	880.0	47.0	408.0	118.0	152.0	114.0	169.0	20.0	6.0	11.0	0.0	50.0	0.0	0.0	0.0	20.0	66.0	41.0	0.0	474.0	1270.0	1365.0	0.0	4.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	238.0	642.0	69.0	26.0	114.0
k__Pseudomonadati;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;__;__	457.0	338.0	530.0	0.0	265.0	99.0	11.0	34.0	35.0	0.0	0.0	0.0	49.0	23.0	0.0	63.0	0.0	36.0	0.0	0.0	109.0	852.0	210.0	623.0	56.0	51.0	66.0	246.0	162.0	1088.0	22.0	24.0	30.0	0.0	66.0	14.0	184.0	942.0	492.0	38.0	159.0	17.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Ornithinimicrobiaceae;g__Ornithinimicrobium	20.0	123.0	13.0	0.0	111.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	580.0	1731.0	486.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	157.0	77.0	0.0	0.0	0.0
k__Bacillati;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella	26.0	9.0	17.0	466.0	177.0	179.0	523.0	440.0	463.0	192.0	203.0	168.0	179.0	105.0	0.0	249.0	250.0	268.0	0.0	311.0	16.0	51.0	9.0	79.0	1171.0	381.0	461.0	444.0	364.0	157.0	694.0	592.0	254.0	721.0	571.0	863.0	297.0	73.0	76.0	649.0	207.0	524.0
k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;__	0.0	0.0	0.0	96.0	0.0	95.0	31.0	64.0	36.0	176.0	117.0	115.0	87.0	154.0	0.0	0.0	0.0	0.0	67.0	98.0	189.0	0.0	0.0	0.0	71.0	107.0	87.0	113.0	123.0	18.0	141.0	59.0	112.0	71.0	92.0	73.0	97.0	0.0	0.0	92.0	162.0	184.0
k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacterales;f__Rhodanobacteraceae;g__Rhodanobacter	2164.0	83.0	209.0	0.0	18.0	975.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	195.0	491.0	141.0	0.0	0.0	21.0	1276.0	229.0	1223.0	0.0	127.0	24.0	52.0	53.0	1082.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	612.0	100.0	0.0	18.0	10.0
k__Bacillati;__;__;__;__;__	360.0	1188.0	1700.0	564.0	1097.0	788.0	353.0	308.0	505.0	314.0	333.0	341.0	760.0	772.0	0.0	129.0	1469.0	746.0	352.0	378.0	1005.0	748.0	1037.0	639.0	690.0	353.0	845.0	730.0	826.0	923.0	331.0	340.0	436.0	389.0	306.0	424.0	636.0	1181.0	1225.0	808.0	603.0	317.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;__	58.0	42.0	27.0	145.0	93.0	97.0	11.0	139.0	23.0	119.0	34.0	74.0	25.0	117.0	0.0	8.0	640.0	473.0	73.0	70.0	113.0	32.0	98.0	45.0	236.0	175.0	345.0	402.0	368.0	80.0	185.0	153.0	191.0	126.0	208.0	158.0	186.0	105.0	40.0	214.0	204.0	124.0
k__Bacillati;p__Actinomycetota;c__Thermoleophilia;__;__;__	69.0	66.0	11.0	64.0	304.0	201.0	90.0	206.0	176.0	48.0	33.0	33.0	174.0	122.0	0.0	69.0	106.0	203.0	331.0	189.0	201.0	108.0	43.0	140.0	44.0	27.0	35.0	25.0	20.0	5.0	412.0	301.0	193.0	207.0	272.0	299.0	306.0	158.0	355.0	179.0	114.0	174.0
